travel2csb,age,dependency_family,dependency_single,occupation1,occupation2,occupation3,fullyowned,purchasing,renting,numberofschool,_1bed_unit_median_price,_1bed_unit_days,_1bed_unit_clearance,_1bed_unit_sold,_2bed_unit_median_price,_2bed_unit_days,_2bed_unit_clearance,_2bed_unit_sold,_3bed_unit_median_price,_3bed_unit_days,_3bed_unit_clearance,_3bed_unit_sold,_2bed_house_median_price,_2bed_house_days,_2bed_house_clearance,_2bed_house_sold,_3bed_house_median_price,_3bed_house_days,_3bed_house_clearance,_3bed_house_sold,_4bed_house_median_price,_4bed_house_days,_4bed_house_clearance,_4bed_house_sold,name,post
--,60+,59.0,41.0,Health Care/Social,Retail trade,Hospitality,67.0,14.0,20.0,0,,,,,,,,,,,,,,,,8,440000.0,279,,15,,,,3,Sandy Point,3959
--,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,Waratah Bay,3959
--,60+,58.0,42.0,Agriculture,Health Care/Social,Construction,50.0,32.0,18.0,0,,,,,,,,,,,,,,,,1,,,,1,,,,1,Waratah North,3959
7 hours 36 mins,60+,52.0,48.0,Retail trade,Agriculture,Health Care/Social,51.0,22.0,27.0,2,,,,,,,,3,,,,,,,,4,320000.0,391,,19,,,,3,Foster,3960
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,1,Foster North,3960
--,40 - 59,56.0,44.0,Agriculture,Hospitality,Construction,40.0,32.0,28.0,0,,,,,,,,,,,,,,,,,,,,2,,,,1,Yanakie,3960
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Mount Best,3960
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Turtons Creek,3960
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Wonga,3960
4 hours 27 mins,60+,49.0,51.0,Agriculture,Health Care/Social,Retail trade,46.0,32.0,22.0,1,,,,,,,,,,,,,,,,5,,,,5,,,,3,Toora,3962
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Agnes,3962
--,40 - 59,50.0,50.0,Agriculture,Education & training,Retail trade,57.0,22.0,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Toora North,3962
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,3,,,,2,Port Franklin,3964
--,60+,46.0,54.0,Transport/Warehouse,Agriculture,Health Care/Social,56.0,32.0,12.0,0,,,,,,,,,,,,,,,,2,,,,3,,,,1,Port Welshpool,3965
--,60+,47.0,53.0,Agriculture,Hospitality,Construction,46.0,31.0,23.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,,Welshpool,3966
--,60+,55.0,45.0,Agriculture,Health Care/Social,Construction,58.0,24.0,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Binginwarri,3966
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,Hedley,3967
--,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,Tarra Valley,3971
--,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Balook,3971
--,40 - 59,57.0,43.0,Agriculture,Professional/Technical,Public Sector/Safety,52.0,32.0,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Won Wron,3971
3 hours 48 mins,60+,48.0,52.0,Agriculture,Retail trade,Health Care/Social,43.0,24.0,32.0,2,,,,,,,,,,,,1,,,,,255000.0,549,,15,,,,4,Yarram,3971
1 hour 18 mins,20 - 39,60.0,40.0,Manufacturing,Health Care/Social,Retail trade,8.0,77.0,16.0,1,,,,,,,,,,,,,,,,2,532000.0,19,,26,652000.0,37,,60,Lyndhurst,3975
1 hour 11 mins,20 - 39,61.0,39.0,Manufacturing,Retail trade,Health Care/Social,13.0,71.0,16.0,2,,,,,,,,3,,,,,,,,,500000.0,34,,37,600000.0,34,,36,Lynbrook,3975
1 hour 21 mins,20 - 39,52.0,48.0,Manufacturing,Health Care/Social,Retail trade,20.0,53.0,27.0,3,,,,,315000.0,30,,17,355000.0,45,,15,,,,9,441000.0,20,88%,231,491000.0,24,,100,Hampton Park,3976
1 hour 47 mins,20 - 39,59.0,41.0,Construction,Manufacturing,Retail trade,8.0,84.0,8.0,0,,,,,,,,,,,,,,,,,573000.0,20,,12,668000.0,56,,65,Botanic Ridge,3977
1 hour 14 mins,20 - 39,44.0,56.0,Manufacturing,Retail trade,Construction,23.0,45.0,31.0,3,,,,1,295000.0,33,,31,,,,9,340000.0,71,,30,421000.0,29,72%,250,520000.0,34,,107,Cranbourne,3977
1 hour 19 mins,20 - 39,46.0,54.0,Manufacturing,Retail trade,Health Care/Social,11.0,62.0,27.0,0,,,,,,,,2,,,,,,,,2,423000.0,27,,175,512000.0,30,,123,Cranbourne West,3977
1 hour 47 mins,40 - 59,55.0,45.0,Construction,Manufacturing,Agriculture,41.0,44.0,15.0,1,,,,,,,,,,,,,,,,1,,,,7,,,,3,Devon Meadows,3977
1 hour 35 mins,40 - 59,45.0,55.0,Manufacturing,Construction,Retail trade,27.0,59.0,14.0,0,,,,,,,,,,,,,,,,6,,,,6,,,,5,Cannons Creek,3977
1 hour 36 mins,20 - 39,50.0,50.0,Manufacturing,Retail trade,Health Care/Social,17.0,60.0,23.0,2,,,,,,,,3,,,,5,355000.0,,,12,444000.0,22,,196,550000.0,32,,172,Cranbourne North,3977
1 hour 50 mins,60+,42.0,58.0,Construction,Manufacturing,Transport/Warehouse,50.0,33.0,17.0,0,,,,,,,,,,,,2,,,,,413000.0,29,,14,,,,4,Junction Village,3977
1 hour 37 mins,20 - 39,64.0,36.0,Manufacturing,Retail trade,Construction,17.0,69.0,14.0,0,,,,,,,,1,,,,3,,,,2,630000.0,63,,35,718000.0,49,,83,Sandhurst,3977
1 hour 51 mins,20 - 39,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,16.0,64.0,20.0,1,,,,,,,,2,,,,3,,,,1,495000.0,35,,67,553000.0,20,,77,Skye,3977
1 hour 35 mins,20 - 39,55.0,45.0,Manufacturing,Retail trade,Health Care/Social,18.0,60.0,22.0,2,,,,,,,,,,,,1,,,,1,445000.0,25,,135,515000.0,31,,184,Cranbourne East,3977
2 hours 2 mins,40 - 59,55.0,45.0,Construction,Manufacturing,Retail trade,42.0,47.0,11.0,1,,,,,,,,,,,,,,,,4,,,,,,,,6,Cranbourne South,3977
1 hour 42 mins,40 - 59,52.0,48.0,Construction,Agriculture,Manufacturing,40.0,37.0,24.0,1,,,,,,,,,,,,,,,,,423000.0,49,,12,521000.0,113,,20,Clyde,3978
1 hour 58 mins,20 - 39,59.0,41.0,Manufacturing,Retail trade,Health Care/Social,18.0,58.0,25.0,1,,,,,,,,,,,,,,,,2,446000.0,46,,80,545000.0,63,,178,Clyde North,3978
--,40 - 59,53.0,47.0,Agriculture,Manufacturing,Construction,37.0,40.0,22.0,1,,,,,,,,,,,,,,,,,,,,1,,,,2,Cardinia,3978
1 hour 28 mins,40 - 59,55.0,45.0,Construction,Manufacturing,Retail trade,29.0,51.0,21.0,1,,,,,,,,,,,,,,,,,,,,6,,,,8,Tooradin,3980
1 hour 48 mins,40 - 59,43.0,57.0,Manufacturing,Construction,Health Care/Social,28.0,53.0,20.0,0,,,,,,,,,,,,,,,,,450000.0,,,11,,,,5,Warneet,3980
1 hour 52 mins,40 - 59,49.0,51.0,Construction,Manufacturing,Health Care/Social,25.0,66.0,9.0,0,,,,,,,,,,,,,,,,,450000.0,,,11,,,,8,Blind Bight,3980
