travel2csb,age,dependency_family,dependency_single,occupation1,occupation2,occupation3,fullyowned,purchasing,renting,numberofschool,_1bed_unit_median_price,_1bed_unit_days,_1bed_unit_clearance,_1bed_unit_sold,_2bed_unit_median_price,_2bed_unit_days,_2bed_unit_clearance,_2bed_unit_sold,_3bed_unit_median_price,_3bed_unit_days,_3bed_unit_clearance,_3bed_unit_sold,_2bed_house_median_price,_2bed_house_days,_2bed_house_clearance,_2bed_house_sold,_3bed_house_median_price,_3bed_house_days,_3bed_house_clearance,_3bed_house_sold,_4bed_house_median_price,_4bed_house_days,_4bed_house_clearance,_4bed_house_sold,name,post
37 mins,20 - 39,49.0,51.0,Professional/Technical,Health Care/Social,Retail trade,38.0,30.0,32.0,3,317000.0,164,66%,30,551000.0,56,81%,72,979000.0,,88%,23,966000.0,15,94%,40,1660000.0,42,83%,125,2114000.0,44,67%,79,Malvern East,3145
25 mins,20 - 39,39.0,61.0,Professional/Technical,Retail trade,Education & training,30.0,27.0,43.0,0,,,,1,,,,7,,,,1,,,,6,,,,7,,,,,Caulfield East,3145
35 mins,20 - 39,52.0,48.0,Professional/Technical,Health Care/Social,Education & training,38.0,33.0,29.0,3,348000.0,152,40%,35,555000.0,95,76%,93,1130000.0,,87%,21,1238000.0,,90%,24,1800000.0,55,85%,133,2270000.0,34,72%,104,Glen Iris,3146
53 mins,20 - 39,48.0,52.0,Professional/Technical,Health Care/Social,Retail trade,35.0,30.0,34.0,3,,,,3,648000.0,,90%,14,,,,8,1195000.0,,80%,16,1180000.0,40,82%,57,1359000.0,,88%,31,Ashwood,3147
53 mins,40 - 59,52.0,48.0,Professional/Technical,Health Care/Social,Education & training,35.0,35.0,30.0,3,,,,,,,,5,,,,4,,,,9,1600000.0,20,89%,64,1868000.0,53,81%,35,Ashburton,3147
49 mins,20 - 39,43.0,57.0,Retail trade,Health Care/Social,Professional/Technical,31.0,29.0,40.0,2,,,,4,502000.0,,,14,796000.0,,54%,12,920000.0,,90%,11,981000.0,48,66%,64,1070000.0,,83%,24,Chadstone,3148
41 mins,40 - 59,56.0,44.0,Professional/Technical,Health Care/Social,Retail trade,48.0,29.0,23.0,3,,,,3,640000.0,53,76%,34,870000.0,34,87%,36,1220000.0,,94%,21,1215000.0,79,77%,266,1333000.0,66,67%,159,Mount Waverley,3149
53 mins,40 - 59,57.0,43.0,Professional/Technical,Health Care/Social,Retail trade,49.0,28.0,24.0,3,467000.0,,,16,599000.0,132,81%,29,875000.0,61,61%,43,835000.0,,78%,26,1151000.0,75,76%,230,1265000.0,73,71%,208,Glen Waverley,3150
1 hour 23 mins,40 - 59,61.0,39.0,Retail trade,Health Care/Social,Professional/Technical,51.0,32.0,17.0,3,,,,,,,,1,,,,2,,,,8,971000.0,71,83%,77,1150000.0,72,70%,106,Wheelers Hill,3150
1 hour 7 mins,20 - 39,53.0,47.0,Health Care/Social,Retail trade,Professional/Technical,48.0,27.0,25.0,3,,,,1,,,,5,,,,7,,,,6,1046000.0,42,85%,64,1118000.0,68,88%,56,Burwood East,3151
1 hour 10 mins,40 - 59,54.0,46.0,Health Care/Social,Retail trade,Manufacturing,40.0,38.0,21.0,3,,,,,,,,6,580000.0,,,10,,,,6,801000.0,17,91%,90,920000.0,30,90%,98,Wantirna,3152
1 hour 14 mins,40 - 59,55.0,45.0,Retail trade,Manufacturing,Health Care/Social,42.0,37.0,21.0,3,,,,4,,,,9,,,,5,,,,5,863000.0,34,88%,104,988000.0,40,75%,95,Wantirna South,3152
57 mins,20 - 39,47.0,53.0,Manufacturing,Health Care/Social,Retail trade,31.0,38.0,31.0,3,,,,3,424000.0,23,,33,585000.0,25,,19,508000.0,23,,28,701000.0,22,72%,95,771000.0,29,77%,38,Bayswater,3153
1 hour 34 mins,20 - 39,43.0,57.0,Manufacturing,Retail trade,Construction,26.0,47.0,27.0,2,,,,1,420000.0,17,,23,520000.0,20,,15,458000.0,,,14,630000.0,46,62%,55,725000.0,37,88%,40,Bayswater North,3153
1 hour 20 mins,40 - 59,51.0,49.0,Manufacturing,Construction,Health Care/Social,34.0,54.0,12.0,2,,,,,,,,1,,,,2,,,,9,607000.0,26,,39,740000.0,40,,22,The Basin,3154
1 hour 0 mins,20 - 39,45.0,55.0,Manufacturing,Health Care/Social,Retail trade,33.0,40.0,27.0,3,,,,5,455000.0,27,80%,59,574000.0,28,63%,48,515000.0,40,,45,657000.0,36,73%,188,735000.0,25,75%,85,Boronia,3155
1 hour 26 mins,40 - 59,48.0,52.0,Manufacturing,Retail trade,Construction,33.0,46.0,21.0,3,,,,1,480000.0,25,,36,550000.0,66,,30,596000.0,25,80%,34,670000.0,19,89%,233,755000.0,28,82%,124,Ferntree Gully,3156
1 hour 17 mins,40 - 59,46.0,54.0,Health Care/Social,Construction,Retail trade,33.0,50.0,18.0,1,,,,,,,,2,,,,,,,,7,627000.0,20,,26,730000.0,44,,17,Upper Ferntree Gully,3156
1 hour 50 mins,40 - 59,60.0,40.0,Retail trade,Manufacturing,Construction,31.0,60.0,9.0,1,,,,,,,,,,,,1,,,,,750000.0,15,,21,942000.0,56,,41,Lysterfield,3156
1 hour 52 mins,40 - 59,63.0,37.0,Construction,Manufacturing,Retail trade,37.0,57.0,6.0,0,,,,,,,,,,,,,,,,,,,,2,,,,9,Lysterfield South,3156
1 hour 9 mins,40 - 59,48.0,52.0,Health Care/Social,Construction,Education & training,32.0,55.0,13.0,1,,,,,,,,4,,,,,506000.0,,,13,595000.0,18,,47,694000.0,33,,36,Upwey,3158
1 hour 52 mins,40 - 59,56.0,44.0,Construction,Manufacturing,Professional/Technical,36.0,52.0,12.0,1,,,,,,,,,,,,,,,,3,,,,5,,,,7,Menzies Creek,3159
1 hour 30 mins,40 - 59,53.0,47.0,Construction,Manufacturing,Education & training,29.0,59.0,12.0,1,,,,,,,,,,,,,,,,2,565000.0,30,,13,720000.0,48,,13,Selby,3159
1 hour 40 mins,40 - 59,51.0,49.0,Manufacturing,Construction,Education & training,32.0,57.0,11.0,1,,,,,,,,,,,,,,,,1,,,,2,,,,9,Belgrave Heights,3160
1 hour 52 mins,40 - 59,55.0,45.0,Construction,Retail trade,Manufacturing,40.0,49.0,10.0,0,,,,,,,,,,,,,,,,1,,,,4,728000.0,,,12,Belgrave South,3160
1 hour 13 mins,40 - 59,45.0,55.0,Health Care/Social,Retail trade,Manufacturing,28.0,53.0,19.0,1,,,,,,,,2,,,,,,,,1,641000.0,10,,16,705000.0,40,,15,Tecoma,3160
1 hour 18 mins,40 - 59,45.0,55.0,Health Care/Social,Education & training,Manufacturing,27.0,59.0,14.0,3,,,,,,,,,,,,,,,,6,570000.0,18,,45,622000.0,17,,16,Belgrave,3160
34 mins,20 - 39,48.0,52.0,Professional/Technical,Health Care/Social,Education & training,36.0,26.0,38.0,3,357000.0,54,40%,18,565000.0,44,72%,80,1025000.0,,75%,19,956000.0,,76%,16,1520000.0,45,89%,63,2230000.0,62,88%,52,Caulfield North,3161
53 mins,40 - 59,54.0,46.0,Professional/Technical,Health Care/Social,Education & training,38.0,33.0,29.0,3,,,,7,631000.0,60,66%,32,,,,9,1005000.0,,96%,32,1365000.0,54,87%,68,1861000.0,43,77%,55,Caulfield South,3162
53 mins,60+,49.0,51.0,Professional/Technical,Retail trade,Health Care/Social,41.0,25.0,34.0,1,,,,4,635000.0,,80%,25,,,,9,,,,8,1545000.0,,75%,25,1870000.0,,91%,17,Caulfield,3162
28 mins,20 - 39,45.0,55.0,Professional/Technical,Health Care/Social,Retail trade,29.0,27.0,44.0,1,309000.0,73,63%,63,577000.0,54,76%,144,910000.0,11,80%,28,920000.0,,90%,30,1306000.0,45,82%,58,1500000.0,,75%,27,Carnegie,3163
40 mins,20 - 39,48.0,52.0,Professional/Technical,Education & training,Health Care/Social,31.0,31.0,38.0,2,295000.0,61,78%,31,588000.0,57,70%,45,901000.0,,92%,13,818000.0,,76%,20,1330000.0,32,92%,48,1540000.0,28,72%,29,Murrumbeena,3163
34 mins,20 - 39,42.0,58.0,Professional/Technical,Retail trade,Health Care/Social,24.0,25.0,51.0,2,337000.0,76,75%,23,537000.0,47,78%,62,810000.0,,,10,,,,7,1330000.0,,91%,13,,,,3,Glen Huntly,3163
54 mins,40 - 59,54.0,46.0,Health Care/Social,Retail trade,Professional/Technical,40.0,37.0,23.0,3,,,,7,535000.0,54,60%,35,825000.0,25,55%,28,825000.0,68,77%,31,1150000.0,45,88%,276,1263000.0,37,70%,123,Bentleigh East,3165
39 mins,20 - 39,49.0,51.0,Retail trade,Health Care/Social,Professional/Technical,35.0,33.0,33.0,2,,,,6,468000.0,103,62%,27,,,,3,800000.0,,90%,11,1041000.0,55,80%,39,1160000.0,,66%,17,Oakleigh,3166
39 mins,20 - 39,48.0,52.0,Professional/Technical,Retail trade,Health Care/Social,31.0,32.0,37.0,2,,,,3,495000.0,162,64%,20,,,,6,1055000.0,,84%,14,1154000.0,,88%,28,1553000.0,,100%,12,Hughesdale,3166
42 mins,20 - 39,49.0,51.0,Education & training,Health Care/Social,Retail trade,34.0,32.0,34.0,0,,,,5,,,,5,,,,2,,,,1,959000.0,,85%,14,,,,5,Huntingdale,3166
58 mins,20 - 39,47.0,53.0,Retail trade,Health Care/Social,Manufacturing,35.0,28.0,37.0,2,,,,,,,,9,790000.0,,,11,849000.0,,90%,16,1010000.0,72,79%,64,891000.0,,54%,15,Oakleigh East,3166
54 mins,20 - 39,53.0,47.0,Manufacturing,Retail trade,Health Care/Social,42.0,34.0,24.0,3,,,,3,,,,9,,,70%,9,896000.0,,92%,15,941000.0,75,92%,66,996000.0,,90%,26,Oakleigh South,3167
56 mins,20 - 39,35.0,65.0,Health Care/Social,Retail trade,Manufacturing,25.0,15.0,60.0,2,327000.0,,,11,411000.0,136,66%,54,661000.0,30,59%,24,611000.0,87,81%,23,1088000.0,99,76%,68,1040000.0,,80%,24,Clayton,3168
1 hour 11 mins,20 - 39,38.0,62.0,Education & training,Health Care/Social,Retail trade,27.0,24.0,49.0,0,278000.0,,,13,343000.0,108,,31,,,,2,,,,3,898000.0,,92%,16,,,,4,Notting Hill,3168
1 hour 12 mins,20 - 39,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,38.0,24.0,38.0,3,,,,5,400000.0,172,63%,27,590000.0,,,10,617000.0,107,84%,33,770000.0,61,90%,63,803000.0,,64%,22,Clayton South,3169
52 mins,40 - 59,52.0,48.0,Manufacturing,Retail trade,Health Care/Social,43.0,31.0,26.0,2,,,,,,,,4,,,,1,712000.0,,,11,776000.0,,81%,25,909000.0,,,11,Clarinda,3169
1 hour 6 mins,20 - 39,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,38.0,24.0,38.0,0,,,,5,400000.0,172,63%,27,590000.0,,,10,617000.0,107,84%,33,770000.0,61,90%,63,803000.0,,64%,22,Clayton North,3169
1 hour 3 mins,20 - 39,57.0,43.0,Manufacturing,Retail trade,Health Care/Social,41.0,36.0,23.0,3,,,,,,,,3,600000.0,,,11,,,,2,786000.0,52,88%,146,904000.0,54,76%,90,Mulgrave,3170
43 mins,20 - 39,50.0,50.0,Manufacturing,Retail trade,Hospitality,35.0,22.0,43.0,3,,,,5,428000.0,117,,19,,,,8,526000.0,93,,21,723000.0,78,62%,142,839000.0,57,42%,27,Springvale,3171
1 hour 13 mins,20 - 39,49.0,51.0,Manufacturing,Retail trade,Health Care/Social,37.0,34.0,28.0,2,,,,,,,,9,,,,7,410000.0,,,17,650000.0,28,61%,63,720000.0,31,62%,23,Springvale South,3172
1 hour 15 mins,40 - 59,57.0,43.0,Manufacturing,Retail trade,Health Care/Social,47.0,40.0,13.0,2,,,,,542000.0,,,10,,,,4,,,,3,750000.0,42,96%,61,889000.0,25,91%,55,Dingley Village,3172
1 hour 1 min,40 - 59,56.0,44.0,Manufacturing,Retail trade,Health Care/Social,37.0,44.0,19.0,3,,,,,,,,6,,,,1,,,,7,668000.0,28,65%,135,870000.0,38,63%,103,Keysborough,3173
54 mins,20 - 39,47.0,53.0,Manufacturing,Health Care/Social,Retail trade,30.0,28.0,42.0,3,192000.0,245,,10,355000.0,56,56%,73,440000.0,27,72%,25,406000.0,150,80%,86,608000.0,43,73%,234,670000.0,65,57%,69,Noble Park,3174
1 hour 15 mins,20 - 39,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,36.0,33.0,31.0,3,,,,,,,,2,,,,1,,,,5,581000.0,45,74%,68,710000.0,,,13,Noble Park North,3174
1 hour 7 mins,20 - 39,51.0,49.0,Manufacturing,Health Care/Social,Retail trade,23.0,20.0,57.0,3,261000.0,238,,21,260000.0,139,30%,157,388000.0,94,,35,356000.0,80,55%,104,520000.0,67,59%,185,625000.0,49,34%,38,Dandenong,3175
--,20 - 39,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,36.0,35.0,29.0,3,,,,1,343000.0,118,,19,423000.0,,,12,448000.0,69,,20,565000.0,30,77%,189,641000.0,49,61%,76,Dandenong North,3175
1 hour 15 mins,20 - 39,38.0,62.0,Manufacturing,Wholesale trade,Transport/Warehouse,14.0,25.0,61.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Dandenong South,3175
1 hour 51 mins,60+,41.0,59.0,Manufacturing,Construction,Health Care/Social,79.0,5.0,15.0,1,,,,,,,,,,,,,,,,1,,,,1,,,,,Bangholme,3175
1 hour 11 mins,20 - 39,45.0,55.0,Manufacturing,Retail trade,Health Care/Social,28.0,31.0,42.0,3,,,,,315000.0,107,,19,,,,7,393000.0,78,,18,445000.0,48,73%,146,480000.0,45,,15,Doveton,3177
1 hour 24 mins,40 - 59,43.0,57.0,Manufacturing,Retail trade,Health Care/Social,30.0,28.0,42.0,0,,,,1,321000.0,40,,10,,,,3,,,,4,495000.0,51,,20,,,,3,Eumemmerring,3177
1 hour 21 mins,40 - 59,58.0,42.0,Manufacturing,Retail trade,Health Care/Social,31.0,54.0,16.0,3,,,,4,387000.0,58,,14,630000.0,18,,13,,,,5,725000.0,23,68%,153,853000.0,27,79%,178,Rowville,3178
1 hour 11 mins,40 - 59,54.0,46.0,Manufacturing,Retail trade,Health Care/Social,33.0,47.0,20.0,3,,,,,,,,2,,,,2,,,,1,746000.0,29,90%,56,846000.0,31,94%,40,Scoresby,3179
1 hour 27 mins,40 - 59,55.0,45.0,Manufacturing,Retail trade,Health Care/Social,39.0,40.0,21.0,3,,,,,,,,5,591000.0,30,,14,,,,1,710000.0,54,69%,61,855000.0,40,76%,39,Knoxfield,3180
27 mins,20 - 39,27.0,73.0,Professional/Technical,Health Care/Social,Retail trade,21.0,22.0,57.0,0,368000.0,111,50%,82,630000.0,61,70%,97,882000.0,,,12,1263000.0,90,81%,63,1700000.0,33,76%,56,2444000.0,,87%,16,Prahran,3181
24 mins,20 - 39,26.0,74.0,Professional/Technical,Health Care/Social,Hospitality,18.0,22.0,60.0,2,381000.0,80,43%,38,598000.0,69,70%,50,,,,8,1325000.0,11,85%,27,1530000.0,35,84%,36,,,,5,Windsor,3181
25 mins,20 - 39,27.0,73.0,Professional/Technical,Health Care/Social,Retail trade,21.0,22.0,57.0,0,368000.0,111,50%,82,630000.0,61,70%,97,882000.0,,,12,1263000.0,90,81%,63,1700000.0,33,76%,56,2444000.0,,87%,16,Prahran East,3181
38 mins,20 - 39,20.0,80.0,Professional/Technical,Health Care/Social,Retail trade,13.0,22.0,65.0,3,391000.0,110,65%,220,610000.0,100,63%,280,976000.0,86,68%,37,913000.0,58,77%,35,1450000.0,76,63%,37,2020000.0,37,50%,20,St Kilda,3182
44 mins,20 - 39,29.0,71.0,Professional/Technical,Health Care/Social,Financial/Insurance,24.0,20.0,56.0,0,422000.0,92,55%,30,748000.0,39,71%,39,,,,3,,,,5,1820000.0,,83%,15,,,,10,St Kilda West,3182
29 mins,20 - 39,33.0,67.0,Professional/Technical,Health Care/Social,Education & training,20.0,26.0,54.0,3,350000.0,70,67%,51,570000.0,48,69%,122,777000.0,,80%,13,1071000.0,,80%,24,1614000.0,,75%,25,2157000.0,,76%,17,St Kilda East,3183
26 mins,20 - 39,30.0,70.0,Professional/Technical,Health Care/Social,Education & training,17.0,25.0,57.0,0,348000.0,74,75%,22,533000.0,46,70%,42,,,,7,1006000.0,,,12,1428000.0,,76%,14,,,,4,Balaclava,3183
36 mins,20 - 39,29.0,71.0,Professional/Technical,Health Care/Social,Education & training,18.0,24.0,58.0,3,445000.0,40,77%,81,682000.0,34,72%,160,1071000.0,32,86%,32,1228000.0,44,82%,37,1688000.0,43,74%,49,2458000.0,,80%,14,Elwood,3184
32 mins,20 - 39,46.0,54.0,Professional/Technical,Health Care/Social,Education & training,33.0,30.0,37.0,3,365000.0,,70%,16,636000.0,76,90%,54,988000.0,,80%,18,980000.0,21,80%,14,1580000.0,32,78%,52,2275000.0,64,75%,35,Elsternwick,3185
26 mins,20 - 39,31.0,69.0,Professional/Technical,Health Care/Social,Retail trade,19.0,23.0,58.0,0,,,,3,612000.0,,80%,11,,,,,,,,3,,,,3,,,,3,Ripponlea,3185
31 mins,20 - 39,41.0,59.0,Professional/Technical,Health Care/Social,Retail trade,23.0,26.0,51.0,2,,,,7,,,,3,,,,2,,,,1,,,,4,,,,3,Gardenvale,3185
36 mins,40 - 59,55.0,45.0,Professional/Technical,Health Care/Social,Retail trade,46.0,27.0,27.0,3,473000.0,,,12,906000.0,82,62%,81,1600000.0,106,76%,57,1400000.0,40,81%,41,2100000.0,64,78%,142,3000000.0,69,79%,143,Brighton,3186
49 mins,40 - 59,54.0,46.0,Professional/Technical,Health Care/Social,Retail trade,43.0,33.0,24.0,3,,,,1,774000.0,,91%,16,870000.0,,80%,11,1405000.0,,90%,31,1593000.0,41,82%,109,1900000.0,57,70%,105,Brighton East,3187
43 mins,40 - 59,55.0,45.0,Professional/Technical,Health Care/Social,Education & training,40.0,34.0,25.0,3,390000.0,78,,18,730000.0,47,82%,49,1060000.0,,90%,16,900000.0,,86%,30,1590000.0,30,77%,92,2135000.0,90,69%,54,Hampton,3188
49 mins,40 - 59,44.0,56.0,Health Care/Social,Professional/Technical,Education & training,29.0,30.0,41.0,1,,,,1,500000.0,71,83%,19,,,,6,,,,7,1200000.0,61,65%,48,1338000.0,58,80%,25,Hampton East,3188
1 hour 9 mins,20 - 39,50.0,50.0,Retail trade,Health Care/Social,Manufacturing,39.0,35.0,26.0,3,,,,3,491000.0,,,14,820000.0,,,11,776000.0,,83%,27,987000.0,35,88%,47,1190000.0,,58%,19,Moorabbin,3189
50 mins,40 - 59,49.0,51.0,Health Care/Social,Professional/Technical,Retail trade,33.0,39.0,28.0,1,,,,5,570000.0,78,83%,48,740000.0,,81%,11,900000.0,50,91%,39,1185000.0,69,72%,88,1372000.0,17,72%,43,Highett,3190
47 mins,40 - 59,53.0,47.0,Professional/Technical,Health Care/Social,Retail trade,42.0,32.0,25.0,3,347000.0,97,,12,738000.0,122,78%,47,920000.0,48,60%,20,975000.0,,73%,17,1580000.0,55,73%,33,1850000.0,45,83%,59,Sandringham,3191
55 mins,20 - 39,50.0,50.0,Retail trade,Health Care/Social,Manufacturing,40.0,34.0,26.0,3,351000.0,,,11,520000.0,85,68%,57,705000.0,,81%,28,748000.0,55,85%,60,950000.0,40,85%,176,1163000.0,22,84%,80,Cheltenham,3192
1 hour 0 mins,40 - 59,61.0,39.0,Professional/Technical,Retail trade,Education & training,47.0,37.0,16.0,3,,,,3,691000.0,,53%,14,970000.0,,70%,14,1037000.0,,,13,1403000.0,78,84%,81,1665000.0,108,75%,74,Beaumaris,3193
56 mins,40 - 59,58.0,42.0,Professional/Technical,Health Care/Social,Education & training,47.0,31.0,22.0,2,,,,1,743000.0,,62%,20,1050000.0,,81%,19,,,,9,1560000.0,,80%,32,1900000.0,46,62%,34,Black Rock,3193
55 mins,40 - 59,48.0,52.0,Health Care/Social,Professional/Technical,Retail trade,35.0,31.0,33.0,3,301000.0,96,,24,535000.0,77,81%,71,675000.0,,100%,16,650000.0,23,85%,41,963000.0,36,86%,88,1300000.0,36,80%,35,Mentone,3194
1 hour 8 mins,40 - 59,46.0,54.0,Manufacturing,Health Care/Social,Professional/Technical,28.0,40.0,32.0,3,365000.0,99,,15,550000.0,67,85%,31,756000.0,,84%,17,622000.0,,76%,23,873000.0,69,73%,58,1190000.0,28,68%,35,Mordialloc,3195
1 hour 29 mins,20 - 39,67.0,33.0,Manufacturing,Retail trade,Professional/Technical,22.0,71.0,7.0,0,,,,,,,,,,,,,,,,1,,,,9,1117000.0,74,41%,17,Waterways,3195
53 mins,40 - 59,51.0,49.0,Retail trade,Health Care/Social,Education & training,36.0,38.0,26.0,2,,,,4,590000.0,49,76%,30,795000.0,,50%,11,851000.0,76,84%,30,1070000.0,47,78%,73,1313000.0,38,79%,37,Parkdale,3195
59 mins,40 - 59,54.0,46.0,Health Care/Social,Manufacturing,Retail trade,39.0,41.0,21.0,3,,,,,,,,7,701000.0,,,10,762000.0,,,13,962000.0,38,88%,45,1150000.0,,59%,21,Aspendale,3195
1 hour 21 mins,40 - 59,61.0,39.0,Manufacturing,Retail trade,Health Care/Social,34.0,53.0,14.0,0,,,,,,,,4,,,,2,,,,1,775000.0,,90%,26,883000.0,29,83%,29,Aspendale Gardens,3195
1 hour 6 mins,20 - 39,41.0,59.0,Manufacturing,Health Care/Social,Retail trade,31.0,32.0,37.0,2,,,,7,513000.0,50,,32,688000.0,24,100%,24,551000.0,22,84%,32,831000.0,35,89%,69,989000.0,53,85%,26,Chelsea,3196
1 hour 2 mins,40 - 59,47.0,53.0,Health Care/Social,Manufacturing,Construction,34.0,40.0,27.0,1,,,,2,469000.0,,,12,725000.0,,,13,810000.0,,75%,17,848000.0,40,68%,54,1032000.0,,84%,22,Edithvale,3196
1 hour 4 mins,20 - 39,43.0,57.0,Health Care/Social,Manufacturing,Construction,30.0,37.0,33.0,1,,,,4,484000.0,26,,31,,,,9,588000.0,67,100%,32,770000.0,41,68%,43,850000.0,26,,23,Bonbeach,3196
1 hour 13 mins,40 - 59,51.0,49.0,Manufacturing,Retail trade,Health Care/Social,30.0,49.0,21.0,1,,,,,,,,3,,,,1,641000.0,,,11,659000.0,26,100%,31,758000.0,101,80%,17,Chelsea Heights,3196
1 hour 4 mins,20 - 39,39.0,61.0,Manufacturing,Construction,Health Care/Social,30.0,34.0,36.0,1,,,,,533000.0,,,21,590000.0,,,11,628000.0,26,70%,23,763000.0,84,74%,53,948000.0,,,14,Carrum,3197
1 hour 32 mins,40 - 59,54.0,46.0,Manufacturing,Retail trade,Construction,37.0,41.0,22.0,1,,,,,438000.0,42,,20,570000.0,,,11,,,,9,793000.0,46,53%,54,900000.0,90,73%,52,Patterson Lakes,3197
1 hour 13 mins,20 - 39,40.0,60.0,Manufacturing,Construction,Health Care/Social,29.0,34.0,36.0,3,,,,4,380000.0,41,,49,500000.0,52,,23,550000.0,48,100%,33,631000.0,31,67%,217,685000.0,26,70%,52,Seaford,3198
1 hour 39 mins,20 - 39,38.0,62.0,Health Care/Social,Retail trade,Manufacturing,28.0,30.0,42.0,3,240000.0,113,,38,340000.0,52,75%,186,440000.0,28,,40,411000.0,37,90%,91,518000.0,26,86%,475,580000.0,28,64%,172,Frankston,3199
1 hour 45 mins,40 - 59,54.0,46.0,Health Care/Social,Retail trade,Construction,37.0,41.0,22.0,1,,,,,424000.0,70,,14,575000.0,15,,12,,,,9,670000.0,35,82%,151,860000.0,46,68%,167,Frankston South,3199
1 hour 37 mins,20 - 39,31.0,69.0,Manufacturing,Health Care/Social,Retail trade,27.0,26.0,47.0,3,,,,1,,,,1,,,,2,,,,3,411000.0,14,75%,140,435000.0,,,13,Frankston North,3200
1 hour 38 mins,20 - 39,42.0,58.0,Manufacturing,Retail trade,Health Care/Social,19.0,52.0,29.0,3,,,,3,300000.0,82,,31,391000.0,29,,31,350000.0,15,,16,455000.0,21,82%,249,500000.0,22,58%,78,Carrum Downs,3201
1 hour 9 mins,40 - 59,57.0,42.0,Retail trade,Health Care/Social,Professional/Technical,27.0,47.0,26.0,0,,,,3,,,,3,,,,,,,,2,804000.0,46,,18,901000.0,51,,14,Heatherton,3202
42 mins,40 - 59,51.0,49.0,Health Care/Social,Professional/Technical,Retail trade,37.0,35.0,28.0,3,,,,2,585000.0,86,80%,70,843000.0,22,78%,28,970000.0,,63%,16,1304000.0,34,85%,138,1500000.0,53,59%,62,Bentleigh,3204
34 mins,20 - 39,49.0,51.0,Professional/Technical,Health Care/Social,Retail trade,29.0,31.0,40.0,3,283000.0,42,60%,16,486000.0,100,68%,35,979000.0,,100%,10,,,,9,1408000.0,,85%,46,1715000.0,,75%,36,Ormond,3204
36 mins,40 - 59,54.0,46.0,Professional/Technical,Health Care/Social,Education & training,35.0,38.0,27.0,1,,,,4,613000.0,,85%,21,950000.0,,63%,11,,,,10,1442000.0,,90%,37,1810000.0,,86%,23,McKinnon,3204
21 mins,20 - 39,34.0,66.0,Professional/Technical,Health Care/Social,Financial/Insurance,21.0,24.0,55.0,2,407000.0,116,54%,40,595000.0,82,66%,61,956000.0,47,63%,20,1150000.0,25,80%,34,1670000.0,48,79%,52,,,,7,South Melbourne,3205
27 mins,20 - 39,43.0,57.0,Professional/Technical,Health Care/Social,Financial/Insurance,33.0,23.0,44.0,2,,,,7,,,,6,,,,2,1545000.0,32,85%,50,2015000.0,49,68%,68,3200000.0,,84%,16,Albert Park,3206
27 mins,40 - 59,48.0,52.0,Professional/Technical,Health Care/Social,Financial/Insurance,37.0,25.0,38.0,1,,,,7,,,,5,,,,6,1350000.0,,,11,2226000.0,,72%,29,,,,6,Middle Park,3206
27 mins,20 - 39,39.0,61.0,Professional/Technical,Financial/Insurance,Health Care/Social,24.0,27.0,49.0,2,480000.0,77,61%,83,705000.0,86,65%,152,1440000.0,47,71%,53,1153000.0,48,85%,56,1565000.0,43,74%,97,2003000.0,68,68%,23,Port Melbourne,3207
--,40 - 59,57.0,43.0,Construction,Manufacturing,Transport/Warehouse,38.0,49.0,13.0,1,,,,,,,,,,,,,,,,1,733000.0,,,10,,,,9,Little River,3211
1 hour 6 mins,40 - 59,52.0,48.0,Manufacturing,Retail trade,Health Care/Social,30.0,47.0,23.0,2,,,,3,,,,7,,,,2,300000.0,72,,23,380000.0,34,,129,480000.0,63,,103,Lara,3212
--,40 - 59,59.0,41.0,Transport/Warehouse,Manufacturing,Other services,48.0,35.0,17.0,0,,,,,,,,,,,,,,,,,,,,2,,,,1,Avalon,3212
,40 - 59,55.0,45.0,Manufacturing,Retail trade,Construction,37.0,47.0,17.0,0,,,,,,,,3,,,,,,,,1,,,,8,,,,9,Lovely Banks,3213
1 hour 29 mins,40 - 59,33.0,67.0,Manufacturing,Retail trade,Health Care/Social,29.0,20.0,51.0,3,,,,1,230000.0,170,,11,,,,3,243000.0,42,72%,65,256000.0,58,95%,123,291000.0,100,,16,Norlane,3214
1 hour 39 mins,20 - 39,40.0,60.0,Manufacturing,Retail trade,Health Care/Social,30.0,31.0,39.0,3,,,,6,,,,5,,,,2,233000.0,85,,27,265000.0,40,59%,235,307000.0,57,,38,Corio,3214
1 hour 25 mins,40 - 59,36.0,64.0,Manufacturing,Education & training,Construction,29.0,25.0,46.0,0,,,,,,,,1,,,,,,,,1,,,,7,,,,,North Shore,3214
1 hour 57 mins,20 - 39,46.0,54.0,Retail trade,Manufacturing,Health Care/Social,41.0,33.0,26.0,2,,,,5,,,,4,,,,5,390000.0,50,,25,445000.0,56,75%,86,535000.0,62,75%,29,Hamlyn Heights,3215
1 hour 48 mins,20 - 39,46.0,54.0,Manufacturing,Retail trade,Construction,40.0,31.0,29.0,2,,,,1,,,,7,350000.0,113,,10,322000.0,102,,16,370000.0,42,68%,81,420000.0,87,,14,Bell Park,3215
