price,landsize,address,park,bed,bath,longitude,latitude,date,property_type
"$618,000
        price from APM PriceFinder","Land area 109 m2
Internal area 66","1/82 Canning Street, Carlton VIC 3053",1,2,1,144.973663,-37.79684,Sold by private treaty 15 October 2016
"$500,000",Internal area 62 m2,"403/20 Reeves Street, Carlton VIC 3053",1,2,2,144.970535,-37.79314,Sold at auction 14 May 2016
"$600,000",Land area 75 m2,"106/94 Canning Street, Carlton VIC 3053",1,2,2,144.973282,-37.79686,Sold by private treaty 27 April 2016
"$670,000",Internal area 84 m2,"600B/640 Swanston Street, Carlton VIC 3053",1,2,2,144.96431,-37.8018875,Sold by private treaty 10 December 2015
"$340,000",Land area 44 m2,"825/488 Swanston Street, Carlton VIC 3053",1,2,1,144.963409,-37.8054962,Sold by private treaty 06 July 2015
"$454,000",Land area 57 m2,"708D/604 Swanston Street, Carlton VIC 3053",1,2,1,144.963837,-37.8018227,Sold by private treaty 02 July 2015
"$1,150,000
        price from APM PriceFinder",Internal area 105,"4/85 Rathdowne Street, CARLTON VIC 3053",1,2,2,144.969131,-37.8051,Sold by private treaty 20 April 2015
"$591,500",Internal area 62,"1614/551 Swanston Street, CARLTON VIC 3053",1,2,1,144.963013,-37.8054543,Sold by private treaty 13 April 2015
"$565,000
        price from APM PriceFinder",Internal area 63,"307B/640 Swanston St, CARLTON VIC 3053",1,2,1,144.96431,-37.8018875,Sold by private treaty 06 January 2015
"$663,000",Internal area 88,"910A/640 Swanston St, CARLTON VIC 3053",1,2,1,144.96431,-37.8018875,Sold by private treaty 17 November 2014
"$466,000",Internal area 60,"1207D/604 Swanston Street, CARLTON VIC 3053",1,2,1,144.963837,-37.8018227,Sold by private treaty 06 November 2014
"$440,000",Land area 58 m2,"306D/604 Swanston Street, Carlton VIC 3053",1,2,1,144.963867,-37.80202,Sold by private treaty 10 March 2014
"$558,500","Land area 80 m2
Internal area 74 m2","902A/640 Swanston Street, CARLTON VIC 3053",1,2,1,144.96431,-37.8018875,Sold by private treaty 24 September 2013
"$700,000",Internal area 0.00,"2/8 Carlton Street, CARLTON VIC 3053",1,2,1,144.973938,-37.80097,Sold at auction 03 December 2011
"$410,000",Internal area 0.00,"307/668 Swanston Street, CARLTON VIC 3053",1,2,1,144.9646,-37.801033,Sold by private treaty 20 July 2011
"$1,300,000",Internal area 0.00,"886 Swanston Street, CARLTON VIC 3053",1,2,1,144.965088,-37.79559,Sold by private treaty 25 June 2011
"$527,500",Internal area 0.00,"31/18 Barkly Place, CARLTON VIC 3053",1,2,1,144.9613,-37.8031921,Sold by private treaty 21 May 2011
"$760,000",Internal area 0.00,"38 Rathdowne Street, CARLTON VIC 3053",1,2,1,144.970428,-37.7996254,Sold by private treaty 14 May 2011
"$630,000",Internal area 0.00,"97 Princes Street, CARLTON VIC 3053",1,2,1,144.972382,-37.79294,Sold by private treaty 12 April 2011
"$841,000",Internal area 0.00,"3/249 Rathdowne Street, CARLTON VIC 3053",1,2,2,144.969177,-37.8011742,Sold by private treaty 02 April 2011
"$1,434,000",Internal area 0.00,"37 Owen Street, CARLTON VIC 3053",1,2,1,144.973145,-37.8007164,Sold by private treaty 02 April 2011
"$745,000",Internal area 0.00,"147 Station Street, CARLTON VIC 3053",1,2,1,144.9743,-37.7938766,Sold by private treaty 19 March 2011
Price Withheld,Internal area 66,"910/139 Queensberry Street, Carlton VIC 3053",1,2,1,144.963913,-37.8048325,Sold by private treaty 07 March 2017
Price Withheld,Land area 81 m2,"205/640 Swanston  Street, Carlton VIC 3053",1,2,1,144.96431,-37.8018875,Sold by private treaty 18 May 2016
Price Withheld,Internal area 58,"506D/604 Swanston St, CARLTON VIC 3053",1,2,1,144.963837,-37.8018227,Sold by private treaty 03 July 2015
Price Withheld,Internal area 54,"412D/604 Swanston Street, CARLTON VIC 3053",1,2,1,144.963867,-37.80202,Sold by private treaty 03 April 2014
Price Withheld,Land area 80 m2,"902A/640 Swanston Street, CARLTON VIC 3053",1,2,1,144.96431,-37.8018875,Sold by private treaty 14 November 2013
Price Withheld,Internal area 54,"1008D/604 Swanston St, Carlton VIC 3053",1,2,1,144.963867,-37.80202,Sold by private treaty 13 June 2013
Price Withheld,Internal area 72,"35/438 Cardigan Street, Carlton VIC 3053",1,2,1,144.967438,-37.7939835,Sold at auction 26 November 2011
Price Withheld,Internal area 85,"4/50 Leicester Street, Carlton VIC 3053",1,2,1,144.960449,-37.80536,Sold by private treaty 25 November 2011
Price Withheld,Internal area 72,"7/3 Lytton Street, Carlton VIC 3053",1,2,1,144.967636,-37.79393,Sold by private treaty 25 October 2011
Price Withheld,Internal area 69,"2.19/101 Grattan Street, Carlton VIC 3053",1,2,1,144.96637,-37.8008,Sold at auction 13 August 2011
"$721,000",Internal area 85 m2,"14/7 Little Palmerston Street, Carlton VIC 3053",1,2,1,144.96991,-37.7967148,Sold at auction 29 April 2017
"$650,000
        price from APM PriceFinder",Internal area 90,"45 Palmerston Street, Carlton VIC 3053",1,2,2,144.973541,-37.7965431,Sold by private treaty 13 January 2016
"$630,000
        price from APM PriceFinder",Internal area 107,"301/82 Canning Street, Carlton VIC 3053",1,2,2,144.9731,-37.7971344,Sold by private treaty 04 January 2016
"$645,000",Internal area 78 m2,"205/94 Canning Street, Carlton VIC 3053",1,2,2,144.973282,-37.79686,Sold by private treaty 10 May 2014
"$1,800,000",Land area 287 m2,"38-40 Barkly Street, Carlton VIC 3053",-,3,1,144.973633,-37.79844,Sold by private treaty 17 July 2017
"$1,300,000",Internal area 0.00,"106 Faraday Street, CARLTON VIC 3053",-,3,2,144.9711,-37.79885,Sold by private treaty 08 July 2011
"$900,000",Internal area 0.00,"358 Drummond Street, CARLTON VIC 3053",-,3,1,144.9692,-37.7975655,Sold by private treaty 04 June 2011
"$833,000",Internal area 176.00,"33/52 Leicester Street, Carlton VIC 3053",1,3,2,144.960388,-37.8052025,Sold at auction 13 May 2017
"$612,000
        price from APM PriceFinder",Internal area 90.0,"609/1 Bouverie Street, Carlton VIC 3053",1,3,2,144.961227,-37.8061,Sold by private treaty 30 September 2016
"$800,000",Internal area 0.00,"10 Kay Street, CARLTON VIC 3053",1,3,2,144.974915,-37.7951469,Sold by private treaty 20 January 2012
"$1,060,000",Internal area 0.00,"111 Barkly Street, CARLTON VIC 3053",1,3,1,144.9717,-37.800148,Sold at auction 08 October 2011
"$1,161,000",Internal area 0.00,"50 Rathdowne Street, CARLTON VIC 3053",1,3,2,144.970459,-37.79939,Sold by private treaty 11 June 2011
Price Withheld,Internal area 1 m2,"28/247 Drummond Street, CARLTON VIC 3053",1,3,2,144.968246,-37.7999763,Sold by private treaty 18 June 2011
"$650,000",Internal area 0.00,"16 Earl Street, CARLTON NORTH VIC 3054",-,2,1,144.973373,-37.788166,Sold at auction 24 March 2012
"$608,000",Internal area 0.00,"215 Richardson Street, CARLTON NORTH VIC 3054",-,2,1,144.968628,-37.7844048,Sold by private treaty 02 March 2012
"$545,000",Internal area 0.00,"134 Macpherson Street, CARLTON NORTH VIC 3054",-,2,1,144.971832,-37.78579,Sold by private treaty 01 November 2011
"$720,000",Internal area 0.00,"782 Drummond Street, CARLTON NORTH VIC 3054",-,2,1,144.971252,-37.78625,Sold at auction 08 October 2011
"$812,000",Internal area 0.00,"170 Fenwick Street, CARLTON NORTH VIC 3054",-,2,1,144.970123,-37.78717,Sold at auction 24 September 2011
"$550,000",Internal area 0.00,"76 Princes Street, CARLTON NORTH VIC 3054",-,2,1,144.972946,-37.7924957,Sold by private treaty 25 July 2011
"$845,000",Internal area 0.00,"535 Station Street, CARLTON NORTH VIC 3054",-,2,1,144.976,-37.78381,Sold by private treaty 30 May 2011
"$790,000",Internal area 0.00,"277 Station Street, CARLTON NORTH VIC 3054",-,2,1,144.974869,-37.79051,Sold by private treaty 27 May 2011
"$940,000",Internal area 0.00,"85 Amess Street, CARLTON NORTH VIC 3054",-,2,1,144.973434,-37.78552,Sold by private treaty 12 March 2011
"$850,000",Land area squareMeter m2,"480 Canning Street, Carlton North VIC 3054",-,2,1,144.9752,-37.7856331,Sold by private treaty 20 March 2010
Price Withheld,Land area 200 m2,"128 Amess Street, Carlton North VIC 3054",-,2,1,144.974258,-37.7845345,Sold at auction 08 August 2015
"$997,500",Land area 186.2 m2,"575 Nicholson Street, Carlton North VIC 3054",-,2,1,144.976776,-37.785923,Sold by private treaty 20 July 2017
"$835,000
        price from APM PriceFinder",Land area 104 m2,"744 Lygon Street, Carlton North VIC 3054",-,2,1,144.969223,-37.78891,Sold by private treaty 22 October 2016
"$1,030,000
        price from APM PriceFinder",Land area 140 m2,"26 Davis Street, Carlton North VIC 3054",-,2,1,144.972992,-37.7919,Sold by private treaty 07 September 2016
"$1,300,000",Land area 140 m2,"24 Davis Street, Carlton North VIC 3054",1,2,1,144.973053,-37.7919044,Sold at auction 22 October 2016
"$526,000",Land area 75 m2,"9/427 Nicholson Street, CARLTON NORTH VIC 3054",1,2,1,144.976028,-37.789566,Sold at auction 24 September 2015
"$810,000
        price from APM PriceFinder",Land area 125 m2,"405 Nicholson Street, Carlton North VIC 3054",1,2,1,144.975891,-37.7904739,Sold at auction 20 June 2015
"$510,000
        price from APM PriceFinder",Internal area 75,"5/1062 Lygon St, CARLTON NORTH VIC 3054",1,2,1,144.970444,-37.7809639,Sold by private treaty 05 October 2014
"$625,000",Land area 167 m2,"662 Station Street, CARLTON NORTH VIC 3054",1,2,1,144.977081,-37.7808723,Sold at auction 17 November 2012
"$800,000",Internal area 0.00,"28 Lee Street, CARLTON NORTH VIC 3054",1,2,1,144.974579,-37.7913,Sold at auction 03 March 2012
"$450,000",Internal area 0.00,"11/1102 Lygon Street, CARLTON NORTH VIC 3054",1,2,1,144.970917,-37.7797623,Sold by private treaty 18 January 2012
"$455,000",Internal area 0.00,"7/869 Drummond Street, CARLTON NORTH VIC 3054",1,2,1,144.97084,-37.78391,Sold by private treaty 02 December 2011
"$843,000",Internal area 0.00,"38 Fenwick Street, CARLTON NORTH VIC 3054",1,2,1,144.975128,-37.7877159,Sold at auction 15 October 2011
"$615,000",Internal area 0.00,"17/649 Drummond Street, CARLTON NORTH VIC 3054",1,2,1,144.969864,-37.7898178,Sold by private treaty 13 August 2011
"$451,000",Internal area 0.00,"2/1068 Lygon Street, CARLTON NORTH VIC 3054",1,2,1,144.970978,-37.7809067,Sold by private treaty 05 June 2011
"$800,000",Internal area 0.00,"38 O'Grady Street, CARLTON NORTH VIC 3054",1,2,1,144.972717,-37.79037,Sold by private treaty 04 June 2011
"$757,000",Internal area 0.00,"1007 Rathdowne Street, CARLTON NORTH VIC 3054",1,2,1,144.9731,-37.780426,Sold by private treaty 04 May 2011
"$926,000",Land area 183 m2,"937 Rathdowne Street, CARLTON NORTH VIC 3054",-,3,1,144.972748,-37.7822266,Sold at auction 02 August 2014
"$1,100,000",Land area 280 m2,"805 Rathdown Street, Carlton North VIC 3054",-,3,1,144.972061,-37.7855873,Sold by private treaty 22 May 2014
"$720,000",Land area 148 m2,"587 Station Street, CARLTON NORTH VIC 3054",-,3,1,144.976349,-37.7826233,Sold at auction 24 March 2012
"$940,000",Internal area 0.00,"581 Canning Street, CARLTON NORTH VIC 3054",-,3,1,144.975143,-37.78257,Sold at auction 17 March 2012
